ID,Author,Authsex,Bibliography,Comment,Conglomerate,Date,Dateorig,Genre,Lang,Medium,Name,Origlang,Subtype,Translation,Type,Dateorig_upraveny
2021-04-14-a-1,Hana Zelinová,fem,"Zelinová, Hana: Sivá húska. Bratislava: Mladé letá 1959. 103 s.",,Hana Zelinová - Sivá húska,1959,1959,col,slk,lib,Sivá húska,YYY,pro,org,img,1959
2021-05-25-b-1,Peter Zván,msc,"Zván, Peter: Ajhľa, človek! Bratislava: Slovenský spisovateľ 1967. 264 s.","edícia Kmeň, zv. 10","Peter Zván - Ajhľa, človek!",1967,1941,nov,slk,lib,"Ajhľa, človek!",YYY,pro,org,img,1941
2021-11-25-a-1,Terézia Vansová,fem,"Vansová, Terézia: Julinkin prvý bál. Bratislava: Mladé letá 1977. 151 s.","výber zostavila, text upravila, doslov, poznámky a slovník napísala Margita Valehrachová-Matulayová",Terézia Vansová - Julinkin prvý bál,1977,1888,col,slk,lib,Julinkin prvý bál,YYY,pro,org,img,1888
2021-12-06-d-1,Milo Urban,msc,"Urban, Milo: Zhasnuté svetlá. Bratislava: Slovenský spisovateľ 1957. 472 s.",edícia Pôvodná próza,Milo Urban - Zhasnuté svetlá,1957,1957,nov,slk,lib,Zhasnuté svetlá,YYY,pro,org,img,1957
2022-02-04-c-1,Milo Urban,msc,"Urban, Milo: V osídlach. Bratislava: Slovenský spisovateľ 1971. 448 s.",druhé pokračovanie diela Živý bič (3. diel trilógie),Milo Urban - V osídlach,1971,1940,nov,slk,lib,V osídlach,YYY,pro,org,img,1940
2022-02-22-c-1,Milo Urban,msc,"Urban, Milo: Hmly na úsvite. Bratislava: Slovenský spisovateľ 1990. 448 s.","Vybrané spisy, zv. 3",Milo Urban - Hmly na úsvite,1990,1941,nov,slk,lib,Hmly na úsvite,YYY,pro,org,img,1941
2022-02-22-d-1,Milo Urban,msc,"Urban, Milo: Výkriky bez ozveny. Bratislava: Slovenský spisovateľ 1989. 336 s.","Vybrané spisy, zv. 1",Milo Urban - Výkriky bez ozveny,1989,1928,col,slk,lib,Výkriky bez ozveny,YYY,pro,org,img,1928
2022-07-06-a-1,Alfonz Bednár,msc,"Bednár, Alfonz: Grécke zátišie. Bratislava: Slovenský spisovateľ 1958. 284 s.",,Alfonz Bednár - Grécke zátišie,1958,1958,nov,slk,lib,Grécke zátišie,YYY,pro,org,img,1958
2022-07-12-a-1,Ján Bajla,msc,"Bajla, Ján: Luna 2 neodpovedá... Bratislava: Smena 1958. 214 s.","edícia Malá knižnica pre každého, zv. 7",Ján Bajla - Luna 2 neodpovedá...,1958,1958,nov,slk,lib,Luna 2 neodpovedá...,YYY,pro,org,img,1958
2023-08-03-t-1,Jozef Horák,msc,"Horák, Jozef: Hudcov vrch. Bratislava: Mladé letá 1968. 104 s.",,Jozef Horák - Hudcov vrch,1968,1945,col,slk,lib,Hudcov vrch,YYY,pro,org,img,1945
2023-08-14-c-1,Mária Jančová,fem,"Jančová, Mária: Divé husi. Bratislava: Slovenský spisovateľ 1960. 140 s.",edícia Pôvodná próza,Mária Jančová - Divé husi,1960,1960,col,slk,lib,Divé husi,YYY,pro,org,img,1960
2023-08-16-a-1,Elena Čepčeková,fem,"Čepčeková, Elena: Dievča z majera. Bratislava: Mladé letá 1975. 262 s.",,Elena Čepčeková - Dievča z majera,1975,1960,nov,slk,lib,Dievča z majera,YYY,pro,org,img,1960
2023-10-04-f-1,Mária Rázusová-Martáková,fem,"Rázusová-Martáková, Mária: Starý Bodrík a vlk. Bratislava: Mladé letá 1981. 19 s.",,Mária Rázusová-Martáková - Starý Bodrík a vlk,1981,1960,col,slk,lib,Starý Bodrík a vlk,YYY,pro,org,img,1960
2023-10-09-a-1,Mária Rázusová-Martáková,fem,"Rázusová-Martáková, Mária: Rozprávky o Jánošíkovi. Martin: Prova 1993. 47 s.",,Mária Rázusová-Martáková - Rozprávky o Jánošíkovi,1993,1955,col,slk,lib,Rozprávky o Jánošíkovi,YYY,pro,org,img,1955
